t_s,current_a,label
1994.00925,1.6572,stall
1994.010252,1.6633,stall
1994.011254,1.6633,stall
1994.012254,1.6572,stall
1994.013256,1.6572,stall
1994.014256,1.6572,stall
1994.015256,1.6755,stall
1994.016256,1.6572,stall
1994.017256,1.6694,stall
1994.018256,1.6694,stall
1994.019257,1.6633,stall
1994.020257,1.6572,stall
1994.021257,1.6572,stall
1994.022257,1.6664,stall
1994.023259,1.6572,stall
1994.024259,1.6755,stall
1994.025261,1.6572,stall
1994.026261,1.6572,stall
1994.027261,1.6572,stall
1994.028261,1.6572,stall
1994.029262,1.6572,stall
1994.030262,1.6633,stall
1994.031263,1.6542,stall
1994.032263,1.6572,stall
1994.033264,1.6572,stall
1994.034266,1.6572,stall
1994.035268,1.6572,stall
1994.036269,1.6572,stall
1994.03727,1.6694,stall
1994.03827,1.6511,stall
1994.03927,1.6511,stall
1994.04027,1.6572,stall
1994.041271,1.6572,stall
1994.042272,1.6572,stall
1994.043274,1.6572,stall
1994.044274,1.6633,stall
1994.045274,1.6572,stall
1994.046274,1.6572,stall
1994.047275,1.6694,stall
1994.048275,1.6572,stall
1994.049275,1.6664,stall
1994.050275,1.6572,stall
1994.051277,1.6572,stall
1994.052277,1.6694,stall
1994.053277,1.6572,stall
1994.054279,1.6572,stall
1994.05528,1.6694,stall
1994.056281,1.6572,stall
1994.057283,1.6694,stall
1994.058284,1.6664,stall
1994.059284,1.6572,stall
1994.060284,1.6572,stall
1994.061285,1.6572,stall
1994.062285,1.6572,stall
1994.063286,1.6572,stall
1994.064288,1.6572,stall
1994.065288,1.6572,stall
1994.06629,1.6572,stall
1994.067291,1.6572,stall
1994.068293,1.6694,stall
1994.069293,1.6572,stall
1994.070293,1.6572,stall
1994.071294,1.6755,stall
1994.072295,1.6572,stall
1994.073296,1.6572,stall
1994.074296,1.6572,stall
1994.075297,1.6694,stall
1994.076298,1.6572,stall
1994.077298,1.6633,stall
1994.078298,1.6633,stall
1994.079299,1.6572,stall
1994.080299,1.6725,stall
1994.0813,1.6694,stall
1994.082302,1.6664,stall
1994.083302,1.6572,stall
1994.084304,1.6877,stall
1994.085304,1.6694,stall
1994.086306,1.6572,stall
1994.087306,1.6755,stall
1994.088308,1.6755,stall
1994.089308,1.6694,stall
1994.090308,1.6755,stall
1994.09131,1.6725,stall
1994.092311,1.6572,stall
1994.093313,1.6694,stall
1994.094313,1.6694,stall
1994.095314,1.6755,stall
1994.096314,1.6755,stall
1994.097315,1.6572,stall
1994.098315,1.6999,stall
1994.099315,1.6694,stall
1994.100316,1.6694,stall
1994.101316,1.6755,stall
1994.102318,1.6511,stall
1994.103319,1.6572,stall
1994.104319,1.6572,stall
1994.10532,1.6755,stall
1994.106322,1.6572,stall
1994.107322,1.6511,stall
1994.108323,1.6694,stall
1994.109325,1.6694,stall
1994.110327,1.6511,stall
1994.111328,1.6725,stall
1994.112328,1.6572,stall
1994.113328,1.6572,stall
1994.114328,1.6572,stall
1994.11533,1.6816,stall
1994.116332,1.6572,stall
1994.117333,1.6694,stall
1994.118333,1.6572,stall
1994.119333,1.6572,stall
1994.120335,1.6694,stall
1994.121337,1.6694,stall
1994.122339,1.6664,stall
1994.123339,1.6572,stall
1994.12434,1.6694,stall
1994.12534,1.6664,stall
1994.126342,1.6572,stall
1994.127342,1.6572,stall
1994.128342,1.6572,stall
1994.129342,1.6694,stall
1994.130342,1.6694,stall
1994.131343,1.6572,stall
1994.132344,1.6572,stall
1994.133345,1.6786,stall
1994.134347,1.6694,stall
1994.135347,1.6694,stall
1994.136349,1.6572,stall
1994.137349,1.6633,stall
1994.138349,1.6572,stall
1994.139351,1.6694,stall
1994.140351,1.6694,stall
1994.141353,1.6755,stall
1994.142354,1.6694,stall
1994.143354,1.6694,stall
1994.144355,1.6877,stall
1994.145355,1.6633,stall
1994.146356,1.6755,stall
1994.147356,1.6633,stall
1994.148357,1.6389,stall
1994.149357,1.6694,stall
1994.150359,1.6755,stall
1994.15136,1.6633,stall
1994.152362,1.6572,stall
1994.153364,1.6755,stall
1994.154366,1.6572,stall
1994.155366,1.6572,stall
1994.156366,1.6572,stall
1994.157366,1.6694,stall
1994.158367,1.6694,stall
1994.159369,1.6633,stall
1994.160369,1.6694,stall
1994.16137,1.6633,stall
1994.16237,1.6633,stall
1994.16337,1.6572,stall
1994.164372,1.6694,stall
1994.165372,1.6694,stall
1994.166372,1.6694,stall
1994.167372,1.6664,stall
1994.168374,1.6572,stall
1994.169374,1.6694,stall
1994.170374,1.6572,stall
1994.171374,1.6694,stall
1994.172375,1.6572,stall
1994.173375,1.6694,stall
1994.174375,1.6725,stall
1994.175375,1.6694,stall
1994.176375,1.6694,stall
1994.177375,1.6694,stall
1994.178375,1.6572,stall
1994.179377,1.6694,stall
1994.180377,1.6572,stall
1994.181377,1.6572,stall
1994.182377,1.6694,stall
1994.183377,1.6633,stall
1994.184377,1.6755,stall
